nome_da_nota,ultima_modificacao,data_da_nota,tags,quantidade_de_palavras
"Remove e retorna o último item, neste caso, 4",2024-11-13 19:18:02,2024-11-13,[],108
Discretização,2024-10-23 22:38:25,2024-10-23,[],28
Técnicas,2024-12-03 20:17:55,2024-12-03,[],158
Indução,2024-10-29 00:40:58,2024-10-29,[],132
o'clock,2024-11-22 19:12:45,2024-11-22,[],26
quantidade de palavras,2024-11-28 21:44:47,N/A,[],592
Sem título,2024-11-22 18:12:19,N/A,[],0
Tripleten,2024-10-29 22:06:49,2024-10-29,[],97
vxcvx.gif,2024-12-10 15:36:49,N/A,[],0
Ações,2024-07-17 01:04:31,N/A,[],0
Terrawwwwwww,2024-07-15 01:06:40,N/A,[],0
Terrawwwwwwwwwww,2024-07-15 01:07:32,N/A,[],0
Terrawwwwwwwwwwww2w22wwwwwww,2024-07-15 01:05:14,N/A,[],0
Terrawwwwwwwwwwwww,2024-07-15 01:08:00,N/A,[],0
Terrawwwwwwwwwwwwwww,2024-07-15 01:08:33,N/A,[],0
importnate,2024-12-03 23:22:41,N/A,[],298
Organização da organização,2024-10-18 17:26:56,N/A,[],17
O voto não é o que você pensa.,2024-09-19 18:52:16,N/A,[],2732
300 palavras basicas,2024-12-06 23:40:21,N/A,[],3738
extenções,2024-11-28 19:55:21,N/A,[],33
palavras,2024-11-19 19:52:27,2024-11-19,[],112
verbo presente,2024-11-26 17:51:32,N/A,[],206
Gráfico,2024-11-15 21:16:00,2024-11-15,[],5
conceitos,2024-12-12 22:59:18,2024-11-15,[],120
doctest: +ELLIPSIS,2024-11-19 21:32:56,N/A,[],4296
01,2024-12-08 23:57:27,2024-12-08,[],179
"<font color=""#d83931"">A</font> <font color=""#00b050"">B C D</font> <font color=""#d83931"">E</font> <font color=""#00b0f0"">F</font> <font color=""#00b050"">G</font> <font color=""#5f497a"">H</font> <font color=""#d83931"">I</font> <font color=""#5f497a"">J K</font> <font color=""#00b0f0"">L M N</font> <font color=""#d83931"">O</font> <font color=""#00b050"">P</font> <font color=""#5f497a"">Q R</font> <font color=""#00b0f0"">S</font> <font color=""#00b050"">T</font> <font color=""#d83931"">U</font> <font color=""#00b050"">V</font> <font color=""#5f497a"">W X Y</font> <font color=""#00b050"">Z</font>",2024-11-15 18:20:42,2024-04-28,[],290
Articles,2024-11-27 01:13:28,2024-11-27,[],7
Fonética das palavras com ch,2024-11-17 22:38:59,2024-04-28,[],62
in,2024-11-22 18:08:06,2024-11-20,[],75
in,2024-11-22 19:21:47,2024-11-20,[],259
Noun,2024-11-27 01:12:12,N/A,[],1
Object of the sentence,2024-11-26 18:43:35,2024-11-26,[],84
Phonetics,2024-11-27 01:13:29,N/A,[],0
dentro > in/inside,2024-12-18 00:40:09,2024-11-21,[],202
Personal (pronome pessoal),2024-11-26 20:03:06,2024-11-26,[],170
Sem título,2024-11-26 18:29:06,N/A,[],0
to be,2024-11-18 17:57:17,2024-11-18,[],198
Tabela de Cores em Inglês,2024-12-01 23:38:35,2024-12-01,[],438
Days of the week,2024-12-01 23:44:45,2024-12-01,[],48
evening,2024-11-22 19:04:14,2024-11-22,[],46
Meses do Ano e Estações no Brasil,2024-12-02 00:22:34,2024-12-01,[],161
noon,2024-11-22 18:15:52,2024-11-22,[],11
estudo,2024-12-08 23:47:27,2024-12-03,[],268
Não sei,2024-12-29 00:35:28,2024-11-29,[],17
Conjunto dos Números Inteiros (Z),2023-09-29 23:31:25,N/A,[],162
Propriedade de fechamento,2023-10-03 10:31:33,N/A,[],91
Conjunto dos Números Racionais (Q),2023-09-29 23:45:07,N/A,[],182
Subconjuntos dos Números Reais,2023-09-29 23:34:58,N/A,[],162
Subconjuntos dos Números Naturais,2023-09-29 23:31:16,N/A,[],130
Conjuntos numéricos,2024-04-21 22:40:53,N/A,[],51
Sem título,2024-10-25 00:13:56,N/A,[],54
Fundamentos da matemática elementar V1,2024-11-09 17:58:22,N/A,[],17
Negação(~),2024-10-25 00:53:34,2024-10-25,[],43
Proposição composta – Conectivos ,2024-11-09 18:15:36,2024-11-09,[],50
Proposição,2024-10-25 00:44:52,2024-10-25,[],188
Variáveis,2024-11-11 21:14:26,2024-11-11,[],40
Algoritmos de memorização,2024-08-17 19:36:45,2024-08-17,[],10
Utilidades,2024-04-24 19:28:59,2024-04-24,[],34
Tecnologias,2024-08-22 22:47:54,2024-08-21,[],83
Hidro-semeadura,2024-04-20 22:27:36,N/A,[],0
Leitura do Coruja,2024-04-30 00:44:42,2024-04-30,[],34
Major System,2024-08-17 19:57:31,2024-08-17,[],171
Palácio da memória,2024-08-17 19:50:54,2024-08-17,[],137
RGB,2024-04-09 11:22:35,2024-04-09,[],45
Plano inicial,2024-05-23 01:42:19,2024-05-23,[],45
Macronutriente,2024-06-30 18:45:36,2024-06-24,[],111
LTHR ,2024-06-24 00:57:01,2024-06-22,[],180
Perguntas Abertas,2023-11-03 11:38:07,N/A,[],33
corrente,2024-04-25 01:01:47,2024-04-25,[],26
Current sink,2024-05-25 21:00:23,2024-05-25,[],19
Current source,2024-05-25 21:00:33,2024-05-25,[],19
sites,2024-04-19 23:40:16,N/A,[],59
Kirchhoff,2024-04-14 22:17:50,2024-04-14,[],27
lei de kirchhoff das tensões,2024-04-18 12:03:35,2024-04-14,[],29
lei de ohm,2024-04-14 21:41:23,2024-04-07,[],16
Básico,2024-05-29 23:44:56,N/A,[],85
ohms,2024-04-16 00:31:58,2024-04-16,[],31
Resistor de pull up,2024-05-27 21:27:00,2024-05-27,[],31
resistores padrões de mercado,2024-04-14 20:42:51,2024-04-08,[],242
Resistência,2024-04-18 12:09:30,2024-04-16,[],33
tenção,2024-04-25 00:50:38,2024-04-16,[],92
TRI-STATE,2024-05-25 20:51:45,2024-05-25,[],58
Datasheet,2024-06-09 00:05:33,2024-04-28,[],150
Código,2024-06-08 21:58:01,2024-04-28,[],187
[[Datasheet]],2024-05-25 20:03:52,2024-04-28,[],378
Datasheet,2024-05-27 21:36:13,2024-04-28,[],234
INTRODUÇÃO PIC16F84A Curso de PIC,2024-05-25 20:59:58,2024-04-28,[],143
Indutores,2024-04-22 00:09:49,2024-04-17,[],145
Capacitor,2024-04-18 12:12:52,2024-04-17,[],120
Chaves com memória,2024-05-03 22:12:01,2024-05-03,[],41
Chaves Momentâneas,2024-05-03 22:05:09,2024-05-03,[],33
Chaves,2024-05-03 22:11:04,2024-05-03,[],49
componente,2024-07-15 01:09:02,2024-04-16,[],63
Diodo,2024-05-03 21:40:00,2024-04-27,[],185
EEPROM,2024-05-27 20:20:37,2024-05-25,[],36
LED,2024-04-14 21:38:41,2024-04-09,[],20
Memória,2024-05-27 20:17:49,2024-05-27,[],44
Resistor,2024-05-08 00:19:33,2024-04-14,[],79
tipos de sensores,2024-05-09 01:08:36,2024-05-08,[],114
Cores de carretel ,2024-04-18 12:06:34,2024-04-16,[],101
Terra,2024-04-25 00:52:00,2024-04-25,[],53
Transistor,2024-05-03 23:43:12,2024-04-30,[],102
Comandos,2024-05-15 20:41:41,2024-05-15,[],28
Pick devices,2024-05-27 21:39:21,2024-05-15,[],40
Quais consigo fazer.,2024-08-05 02:19:45,2024-08-04,[],30
Quais vou fazer,2024-08-27 20:34:35,2024-08-27,[],11
projetos uteis. ,2024-05-07 21:10:47,2024-05-07,[],28
Papel alumínio,2024-05-07 23:53:41,2024-05-07,[],68
PVC,2024-05-07 21:02:29,2024-05-07,[],48
Super cola,2024-05-07 21:07:49,2024-05-07,[],31
Coisas a fazer,2024-07-12 21:53:08,N/A,[],23
Alongamentos Dinâmicos:,2024-09-05 18:05:24,2024-08-17,[],281
Vida 1,2024-08-08 20:13:06,N/A,[],0
[[Oxítonas]],2024-09-21 23:16:08,N/A,[],237
Adjetivo,2023-11-02 10:40:21,N/A,[],3
Tudo vira substantivo.,2023-11-02 10:34:00,N/A,[],134
Classe de palavras,2023-10-25 19:02:03,N/A,[],37
Classificação das consoantes,2023-10-06 10:40:36,N/A,[],35
Classificação das vogais,2023-09-28 23:15:23,N/A,[],34
Composição,2023-10-17 10:31:09,N/A,[],95
Dissílaba,2023-10-21 11:41:20,N/A,[],19
Ditongo,2023-10-02 10:17:31,N/A,[],99
dupla prosódia,2023-10-01 20:02:34,N/A,[],110
Dígrafo,2023-09-28 10:21:00,N/A,[],30
Dígrafos consonantais,2023-09-28 10:29:25,N/A,[],63
Dígrafos vocálicos,2023-09-28 10:20:54,N/A,[],52
Emprego do E,2023-10-14 10:48:52,N/A,[],105
Emprego do G,2023-10-14 10:29:02,N/A,[],95
Emprego do H,2024-04-24 00:35:46,N/A,[],243
Emprego do Hífen,2023-10-17 10:07:02,N/A,[],3
Emprego do I,2023-10-14 11:16:16,N/A,[],110
Emprego do J,2023-10-13 10:51:42,N/A,[],106
Nas seguintes correlações:,2024-04-24 00:35:46,N/A,[],308
Emprego do SC,2024-04-24 00:35:46,N/A,[],179
Emprego do SS,2023-10-12 11:20:41,N/A,[],161
Emprego do X ou CH,2023-10-16 20:36:45,N/A,[],197
Emprego do XC,2023-10-17 09:46:12,N/A,[],68
Emprego do Z,2023-10-12 11:10:33,N/A,[],230
Emprego do Ç,2023-10-12 11:31:07,N/A,[],133
Os encontros consonantais podem ser: ,2023-10-06 11:06:56,N/A,[],186
Encontros vocálicos,2023-10-02 10:29:11,N/A,[],24
Fonemas consonantais,2023-09-28 10:42:40,N/A,[],76
Fonemas vocálicos,2023-09-28 10:35:47,N/A,[],46
fonemas,2023-09-28 10:49:01,N/A,[],43
Fonologia,2023-09-28 10:20:51,N/A,[],10
Formas variante,2023-10-17 09:48:28,N/A,[],90
Processos de formação das palavras,2024-05-05 00:17:41,N/A,[],114
Hiato,2023-10-06 23:27:43,N/A,[],23
Homônimos,2023-10-17 09:57:26,N/A,[],242
Exemplo,2023-10-25 19:18:25,N/A,[],204
Monossílaba,2023-10-01 22:46:51,N/A,[],26
Nasal,2023-10-02 10:01:00,N/A,[],49
Oral,2023-10-02 09:59:47,N/A,[],28
Mesmo fonema representado por letras diferentes,2023-10-17 10:02:09,N/A,[],341
Ortoépia,2024-12-04 21:40:07,N/A,[],47
Oxítonas,2023-09-30 10:54:54,N/A,[],23
Palavras de uma mesma família,2023-10-14 11:18:11,N/A,[],70
Palavras derivadas,2023-10-14 10:03:32,N/A,[],0
Paroxítonas,2023-09-30 10:48:05,N/A,[],22
Parônimos,2023-10-17 09:55:27,N/A,[],290
Polissílaba,2023-09-28 23:45:04,N/A,[],28
prefixo,2023-10-14 10:48:55,N/A,[],0
Primeira leitura,2023-10-25 17:45:00,N/A,[],16
Proparoxítonas,2023-09-30 10:48:17,N/A,[],24
Prosódia,2023-10-01 20:11:54,N/A,[],178
Quanto ao papel,2023-09-28 23:18:20,N/A,[],62
Quanto ao timbre,2023-09-28 23:14:45,N/A,[],54
Quanto à intensidade,2023-09-28 23:21:16,N/A,[],33
Quanto à zona de articulação,2023-09-28 23:11:30,N/A,[],54
Segunda leitura,2023-10-25 17:52:44,N/A,[],20
Semivogal,2023-10-02 09:56:41,N/A,[],40
silabada,2023-10-01 19:47:27,N/A,[],18
Como encontrar o substantivo,2023-11-02 10:17:51,N/A,[],87
Quanto a posição da sílaba tônica.,2023-10-07 10:08:35,N/A,[],117
Sílaba,2023-09-30 10:19:18,N/A,[],82
Translineação,2023-10-06 10:47:09,N/A,[],578
Trissílaba,2023-09-28 23:44:14,N/A,[],21
Tritongo,2023-10-02 10:28:10,N/A,[],84
Tônicos,2023-10-01 22:53:04,N/A,[],24
Átonos,2023-10-01 22:50:47,N/A,[],25
Nicho de atuação,2024-12-02 21:00:47,2024-12-02,[],9
mineração de dado,2024-10-01 19:09:14,2024-10-01,[],55
Reds,2024-08-24 00:29:46,2024-08-24,[],9
Passos,2024-08-31 01:17:01,2024-08-05,[],86
Análise inicial do DF,2024-12-21 19:43:52,2024-12-21,[],35
churn,2024-11-11 21:35:40,2024-11-11,[],42
Math da coisa  ,2024-12-18 00:36:32,2024-12-18,[],257
Engenharia de características,2024-12-28 15:51:57,2024-12-27,[],36
Importância do grafico,2024-12-05 18:58:41,2024-12-05,[],40
Outliers,2024-12-21 19:36:55,2024-12-21,[],26
Rotatividade,2024-11-11 21:23:20,2024-11-11,[],27
Sem título,2024-11-11 21:17:58,N/A,[],0
Avaliar fórmula,2024-09-12 00:17:13,2024-09-06,[],18
DADADIF,2024-08-25 23:37:47,2024-08-25,[],95
F4,2024-11-04 16:43:18,2024-11-04,[],63
"?/?""**)|Fração, como 4 1/3|",2024-09-12 00:16:39,2024-09-06,[],160
Função.excel,2024-09-12 00:13:49,2024-08-25,[],338
hlookup,2024-08-25 23:36:37,N/A,[],0
Operador,2024-09-07 21:02:06,2024-08-25,[],62
SEERRO,2024-09-12 00:22:57,2024-09-06,[],59
Tabelas dinâmicas,2024-09-12 00:17:09,2024-09-07,[],13
Variáveis no excel,2024-09-12 00:17:05,2024-09-06,[],29
vlookup,2024-08-25 23:36:28,N/A,[],0
Acercamento,2024-09-12 16:09:15,2024-09-12,[],42
Barras horizontais empilhadas,2024-09-12 00:18:21,2024-09-11,[],18
Barras horizontais,2024-09-12 00:18:14,2024-09-11,[],22
Barras verticais empilhadas,2024-09-12 00:18:03,2024-09-10,[],59
Barras verticais,2024-09-12 00:17:57,2024-09-10,[],25
pontos importantes ,2024-09-12 00:17:49,2024-09-10,[],227
Causa e efeito,2024-12-17 20:38:20,2024-12-17,[],91
Conexão,2024-09-12 16:16:50,2024-09-12,[],59
Continuidade,2024-09-12 16:14:45,2024-09-12,[],54
Títulos,2024-12-17 20:38:10,2024-12-17,[],105
Carga de gráficos,2024-09-21 19:30:02,2024-09-13,[],307
Fechamento,2024-09-12 16:13:07,2024-09-12,[],61
Gráfico de cascata,2024-09-12 00:18:08,2024-09-10,[],33
Gráfico de dispersão,2024-09-07 17:49:50,2024-09-07,[],72
Gráfico de inclinaçao,2024-09-29 19:19:52,2024-09-29,[],17
Gráfico de inclinação,2024-09-12 00:16:12,2024-09-10,[],105
Gráfico de linhas,2024-09-12 00:16:06,2024-09-10,[],29
Gráfico de Área,2024-09-11 18:18:18,2024-09-11,[],36
Gráficos de dispersão,2024-12-18 19:34:52,2024-12-18,[],112
Gráficos ruins,2024-12-17 21:00:36,2024-12-17,[],40
[[Matrizes de dispersão|Matriz]] de histograma,2024-12-20 19:28:58,2024-12-18,[],92
Linhas,2024-09-12 00:16:03,2024-09-07,[],13
Mapa de calor,2024-09-07 17:42:25,2024-09-07,[],41
Matrizes de dispersão,2024-12-18 23:37:14,2024-12-18,[],151
Pontos,2024-09-12 00:15:58,2024-09-07,[],11
Princípios da Gestalt,2024-09-12 17:53:47,2024-09-12,[],44
Proximidade,2024-09-12 16:06:07,2024-09-12,[],54
Similaridade,2024-09-12 16:07:30,2024-09-12,[],36
Sites,2024-09-30 15:31:31,2024-09-29,[],57
Tabela,2024-09-12 00:23:19,2024-09-07,[],66
Texto simples,2024-09-07 17:17:35,2024-09-07,[],61
Uso de animação nos visuais apresentados,2024-09-26 16:29:10,2024-09-26,[],34
O que deve ter nos posts,2024-12-06 20:46:00,2024-12-06,[],281
linkedin,2024-09-04 01:10:30,2024-08-31,[],58
Apresentação Pessoal,2024-09-21 23:33:01,2024-09-21,[],217
perguntas,2024-10-16 00:05:31,N/A,[],224
Análise de Dados:,2024-10-16 00:49:25,N/A,[],466
Torne-se parceiro do contato,2024-09-18 22:55:13,2024-09-18,[],65
Big Data 2.0,2024-10-02 16:07:41,2024-10-02,[],51
Big Data vx mineração de dados,2024-10-02 15:42:47,2024-10-02,[],49
"Relacionando Capítulos de ""Storytelling com Dados"" e ""Data Science para Negócios""",2024-10-04 17:58:33,N/A,[],1544
Métodos Supervisionados vx Não Supervisionados,2024-10-07 17:49:42,2024-10-07,[],132
Porque não é manual mas,2024-10-05 20:48:20,2024-10-05,[],110
Publico,2024-10-05 20:38:38,2024-10-05,[],25
Coisas a fazer,2024-09-25 18:30:35,2024-09-24,[],370
"Lógica horizontal[[Storytelling com dados.pdf#page=180&selection=11,0,11,17|(...)]]",2024-09-25 19:00:43,2024-09-25,[],167
Web 1.0,2024-10-02 16:04:32,2024-10-02,[],72
Glossário (data science para negocios),2024-10-29 00:25:31,2024-10-28,[],358
Case Real de Dados,2024-10-22 01:58:35,2024-10-22,[],432
Perceptron e Aprendizado Supervisionado,2024-10-08 23:56:05,2024-10-08,[],667
Problemas básicos,2024-10-04 00:08:26,2024-10-04,[],490
1. Segmentação,2024-10-04 00:46:14,2024-10-04,[],1102
Cadeias de [[Markov]]:,2024-10-01 22:51:35,2024-10-01,[],383
POO a abstração se manifesta em:,2024-08-10 23:20:49,2024-08-10,[],74
"Saída: (2, 3)",2024-11-14 22:01:16,2024-08-10,[],58
Exemplos,2024-08-10 22:25:59,2024-08-10,[],104
Características principais de construtores:,2024-10-13 00:26:12,2024-08-12,[],129
Exemplo:,2024-08-10 21:17:09,2024-08-10,[],64
Métodos,2024-08-16 00:18:33,2024-08-15,[],19
Objetos,2024-08-10 21:19:04,2024-08-10,[],16
Exemplos,2024-08-13 23:40:57,2024-08-13,[],63
Programação Orientada a Objetos (POO),2024-08-16 00:26:05,2024-08-10,[],308
Passo 1: **Entendimento do Problema e Definição de Objetivos**,2024-10-27 20:40:54,N/A,[],469
Atributo,2024-11-15 21:24:12,2024-11-14,[],31
Como funciona a composição?,2024-08-13 22:50:23,2024-08-13,[],130
Instrução,2024-11-13 19:24:46,2024-11-13,[],51
Método,2024-11-13 19:25:11,2024-11-13,[],102
Instancias igualadas,2024-08-12 20:55:24,2024-08-12,[],148
Solicita ao usuário o valor em reais que ele possui,2024-08-07 14:49:38,2024-08-06,[],107
Define a função sorteando() que recebe uma lista como argumento,2024-08-08 19:29:39,2024-08-06,[],275
Importa a biblioteca 'date' para trabalhar com datas,2024-08-08 19:30:57,2024-08-06,[],212
Inicializa o fatorial com 1,2024-08-08 19:33:00,2024-08-06,[],208
"Verifica se a entrada de gols é um número. Se não for, define como 0.",2024-08-08 19:34:32,2024-08-06,[],191
"Define a função leia_int, que recebe uma string como argumento (mensagem para o usuário)",2024-08-08 19:36:43,2024-08-06,[],179
Cria um dicionário vazio para armazenar as informações.,2024-08-08 19:38:40,2024-08-06,[],292
Define as cores para o terminal,2024-08-08 19:51:51,2024-08-06,[],233
Aula (11),2024-08-07 14:51:26,2024-08-06,[],46
1. Solicita ao usuário o valor do produto.,2024-08-07 14:55:45,2024-08-06,[],81
Solicita ao usuário que digite o salário atual,2024-08-07 14:57:31,2024-08-06,[],68
Solicita ao usuário que insira a temperatura em graus Celsius,2024-08-07 14:58:54,2024-08-06,[],61
Este programa calcula o preço a pagar pelo aluguel de um carro.,2024-08-07 15:00:30,2024-08-06,[],183
Importar a função trunc da biblioteca matemática,2024-08-07 15:02:19,2024-08-06,[],108
Importa a biblioteca matemática para utilizar a função hypot(),2024-08-07 15:14:36,2024-08-06,[],92
"Importa a biblioteca matemática do Python, que fornece funções matemáticas como seno, cosseno e tangente.",2024-08-07 15:17:58,2024-08-06,[],132
Importa a biblioteca 'random' para gerar números aleatórios,2024-08-07 15:19:16,2024-08-06,[],128
Solicita o nome dos alunos,2024-08-07 15:21:02,2024-08-06,[],119
Solicita ao usuário que digite seu nome completo,2024-08-07 15:22:12,2024-08-06,[],172
Solicita ao usuário que digite um número inteiro,2024-08-07 15:25:07,2024-08-06,[],163
Solicita ao usuário que digite o nome de uma cidade,2024-08-07 15:26:30,2024-08-06,[],125
Solicita ao usuário que digite seu nome e armazena em uma variável chamada 'n'.,2024-08-07 15:28:21,2024-08-06,[],99
Solicita ao usuário que digite uma frase e armazena em uma variável,2024-08-07 15:29:37,2024-08-06,[],205
Solicita ao usuário que digite uma frase,2024-08-07 16:51:15,2024-08-06,[],195
Solicita ao usuário que digite seu nome completo e armazena na variável 'n',2024-08-07 16:49:44,2024-08-06,[],192
Aula (28),2024-08-06 16:35:42,2024-08-06,[],7
Importa a biblioteca 'random' para gerar números aleatórios.,2024-08-07 16:54:04,2024-08-06,[],203
Solicita ao usuário que digite um número inteiro e armazena o valor na variável 'n',2024-09-12 00:20:01,2024-08-06,[],108
Pede ao usuário para inserir a distância da viagem em km,2024-08-07 16:56:47,2024-08-06,[],153
Importa a biblioteca datetime para obter o ano atual,2024-08-07 16:57:44,2024-08-06,[],176
 Faça um programa que leia três números e mostre qual é o maior e qual é o menor.,2024-08-07 16:58:59,2024-08-06,[],238
Solicita ao usuário que digite o salário.,2024-08-07 17:01:03,2024-08-06,[],200
Imprime uma mensagem inicial para o usuário,2024-08-07 17:01:49,2024-08-06,[],171
Imprime uma linha de 60 caracteres '$' para fins de formatação visual,2024-08-07 17:17:09,2024-08-06,[],306
Obter o número inteiro do usuário,2024-08-07 17:19:25,2024-08-06,[],288
Pede ao usuário para digitar o primeiro número e converte para inteiro,2024-08-07 17:20:53,2024-08-06,[],177
Pede ao usuário para inserir o ano de nascimento,2024-08-07 17:23:35,2024-08-06,[],152
"Objetivo: Ler duas notas de um aluno, calcular a média e exibir a situação (Aprovado, Reprovado ou Recuperação).",2024-08-07 17:25:48,2024-08-06,[],230
Imprime uma mensagem de boas-vindas ao usuário,2024-08-07 17:26:47,2024-08-06,[],123
Aula (42),2024-08-06 16:35:42,2024-08-06,[],7
Título do programa,2024-08-07 17:28:18,2024-08-06,[],213
Solicita o valor total das compras do usuário,2024-08-07 17:29:37,2024-08-06,[],256
Importa a biblioteca 'random' para gerar números aleatórios.,2024-08-07 17:31:24,2024-08-06,[],229
Importa a biblioteca 'time' para utilizar funções relacionadas ao tempo.,2024-08-07 17:32:51,2024-08-06,[],143
Este programa irá imprimir todos os números pares no intervalo de 1 a 50.,2024-08-07 17:34:00,2024-08-06,[],156
 Faça um programa que calcule a soma entre todos os números que,2024-08-07 17:35:31,2024-08-06,[],181
" mostrando a tabuada de um número que o usuário escolher, só que agora utilizando um laço for.",2024-08-07 17:56:22,2024-08-06,[],139
"Solicita ao usuário que digite um número inteiro e armazena o valor na variável ""num"".",2024-08-06 18:16:34,2024-08-06,[],170
Inicializa a variável 't' para armazenar a soma dos números pares,2024-08-07 17:57:51,2024-08-06,[],138
"Desenvolva um programa que leia o primeiro termo e a razão de uma PA. No final,",2024-08-07 17:59:54,2024-08-06,[],191
Pede ao usuário para inserir um número inteiro.,2024-08-07 18:01:17,2024-08-06,[],157
Solicita ao usuário que digite uma frase e converte para letras maiúsculas,2024-08-07 18:11:05,2024-08-06,[],110
Importa a biblioteca datetime para trabalhar com datas.,2024-08-07 18:12:19,2024-08-06,[],241
Inicializa as variáveis para armazenar o maior e o menor peso,2024-08-07 18:13:13,2024-08-06,[],205
Inicializa as variáveis para armazenar informações:,2024-08-07 18:14:38,2024-08-06,[],403
"#  Faça um programa que leia o sexo de uma pessoa, mas só aceite os valores 'M' ou 'F'.",2024-08-07 18:27:55,2024-08-06,[],76
Importa a biblioteca random para gerar números aleatórios,2024-08-07 18:29:14,2024-08-06,[],317
"Objetivo: Criar um programa que realiza operações matemáticas básicas entre dois números, ",2024-08-07 18:31:42,2024-08-06,[],482
O programa pede ao usuário para digitar um número inteiro.,2024-08-07 14:39:55,2024-08-06,[],159
Solicita ao usuário que digite um número inteiro,2024-08-07 18:33:16,2024-08-06,[],213
O programa recebe o primeiro termo (p) e a razão (r) da progressão aritmética (PA) do usuário.,2024-08-07 18:34:38,2024-08-06,[],151
Leitura dos dados do usuário,2024-08-07 18:35:56,2024-08-06,[],260
Imprime uma linha de '=' com 50 caracteres para delimitar visualmente o início do programa,2024-08-07 18:37:58,2024-08-06,[],380
Inicializa as variáveis:,2024-08-07 18:39:46,2024-08-06,[],169
Inicialização das variáveis,2024-08-07 18:41:26,2024-08-06,[],380
Inicializa as variáveis que serão usadas para contar os números e guardar a soma.,2024-08-07 18:43:36,2024-08-06,[],154
Inicializa a variável 'c' para controlar o contador da tabuada,2024-08-07 18:45:02,2024-08-06,[],260
Inicialização das variáveis:,2024-08-07 18:47:15,2024-08-06,[],333
 Crie um programa que leia a idade e o sexo de várias pessoas.,2024-08-07 19:28:36,2024-08-06,[],396
"Este programa lê duas notas de um aluno, calcula e exibe a média.",2024-08-07 14:42:47,2024-08-06,[],115
Inicialização das variáveis,2024-08-08 18:16:35,2024-08-06,[],327
Imprime o cabeçalho do programa,2024-08-08 18:17:41,2024-08-06,[],253
Cria uma tupla chamada 'n' com as palavras por extenso de zero a vinte.,2024-08-08 18:19:33,2024-08-06,[],235
Define a tupla com os 20 primeiros colocados do Brasileirão,2024-08-08 18:21:23,2024-08-06,[],225
Importa a biblioteca 'random' para gerar números aleatórios.,2024-08-08 18:22:15,2024-08-06,[],161
Declaração da tupla,2024-08-08 18:23:22,2024-08-06,[],226
